Sample name/ SRA accesion	File name (alias)	Treatment	Block
ERS1949772	JP5WATER110514AMP	Unenriched pond	Block 5
ERS1949791	JP4A120627SEDIMENT	Fertilized pond	Block 4
ERS1949765	JP5SED110513AMP	Unenriched pond	Block 5
ERS1949784	JC1ASEDIMENT120627	Control mesocosm	Block 1
ERS1949792	JC1DASH3120627WATERRESIZED	Control mesocosm	Block 1
ERS1949793	JC1DASH3WATER120627	Control mesocosm	Block 1
ERS1949794	JC2DASH1120627WATER	Control mesocosm	Block 2
ERS1949785	JC3B120627SEDIMENT	Control mesocosm	Block 3
ERS1949786	JC3B120627SEDRESIZEAMP	Control mesocosm	Block 3
ERS1949795	JC3DASH1WATER120627AMP	Control mesocosm	Block 3
ERS1949787	JC4B120627SEDIMENT	Control mesocosm	Block 4
ERS1949796	JC4DASH3120627WATERAMP	Control mesocosm	Block 4
ERS1949766	JP1110514WATERRESIZED	Unenriched pond	Block 1
ERS1949773	JP1ASEDIMENT120525	Unenriched pond	Block 1
ERS1949788	JP1B120627SEDRESIZEDAMP	Fertilized pond	Block 1
ERS1949789	JP1BSEDIMENT120627	Fertilized pond	Block 1
ERS1949777	JP1C120525WATERRESIZEDAMP	Unenriched pond	Block 1
ERS1949778	JP1CWATER120525	Unenriched pond	Block 1
ERS1949797	JP1DASH3WATER120627	Fertilized pond	Block 1
ERS1949762	JP1SEDIMENT110513	Unenriched pond	Block 1
ERS1949767	JP1WATER110514	Unenriched pond	Block 1
ERS1949763	JP2110513SEDIMENT	Unenriched pond	Block 2
ERS1949768	JP2110514WATERAMP	Unenriched pond	Block 2
ERS1949769	JP2110514WATERRESIZE	Unenriched pond	Block 2
ERS1949790	JP2A120627SEDIMENT	Fertilized pond	Block 2
ERS1949774	JP2C120525SEDIMENT	Unenriched pond	Block 2
ERS1949775	JP2C120525SEDRESIZEAMP	Unenriched pond	Block 2
ERS1949780	JP2C120525WATERRESIZEAMP	Unenriched pond	Block 2
ERS1949779	JP2C120525WATER	Unenriched pond	Block 2
ERS1949799	JP2DASH1120627WATERAMPRESIZED	Fertilized pond	Block 2
ERS1949798	JP2DASH1120627WATERAMP	Fertilized pond	Block 2
ERS1949781	JP3CWATER120525AMPED	Unenriched pond	Block 3
ERS1949764	JP4110513SEDIMENT	Unenriched pond	Block 4
ERS1949791	JP4A120627SEDIMENT	Fertilized pond	Block 4
ERS1949770	JP4110514WATERAMP	Unenriched pond	Block 4
ERS1949771	JP4110514WATERRESIZE	Unenriched pond	Block 4
ERS1949776	JP4A120525SEDIMENT	Unenriched pond	Block 4
ERS1949783	JP4B120525WATERRESIZEAMP	Unenriched pond	Block 4
ERS1949782	JP4B120525WATER	Unenriched pond	Block 4
ERS1949801	JP4DASH2120627WATERAMPRESIZED	Fertilized pond	Block 4
ERS1949800	JP4DASH2120627WATERAMP	Fertilized pond	Block 4
ERS1949765	JP5SED110513AMP	Unenriched pond	Block 5
ERS1949772	JP5WATER110514AMP	Unenriched pond	Block 5
